cod_id;endereco_lote_mais_proximo;lat;lon;status
219991734;RUA ANTONIO ALVES DA COSTA 300, 300, SAO PEDRO;-19.5842662;-46.9422308;pendente_geracao
219991755;RUA ANTONIO BARRETO 224, 224, FERTIZA;-19.6102406;-46.942657;pendente_geracao
219991762;RUA SANTA CRUZ 307, 307, FERTIZA;-19.6116497;-46.9418256;pendente_geracao
219991772;RUA SAO CRISTOVAO 87, 87, SAO CRISTOVAO;-19.5979815;-46.9427766;pendente_geracao
219991778;RUA RIO BRANCO 640, 640, CENTRO;-19.5953049;-46.94304;pendente_geracao
219991783;RUA JOAO MAGALHAES 500, 500, JOAO RIBEIRO;-19.6052064;-46.9437498;pendente_geracao
219991792;RUA JOAO MAGALHAES 103, 103, JOAO RIBEIRO;-19.6016378;-46.9438023;pendente_geracao
219991793;RUA PAUL HARRIS 397, 397, JOAO RIBEIRO;-19.6005531;-46.9438751;pendente_geracao
219991835;RUA VALENTINO ANTONIO SENNO 218, 218, CENTRO;-19.5885735;-46.9465524;pendente_geracao
219991859;AVENIDA JOAO PAULO II 1105, 1105, SANTA LUZIA;-19.59508;-46.947965;pendente_geracao
219991891;RUA MARECHAL DEODORO 280, 280, CENTRO;-19.5914031;-46.9455094;pendente_geracao
219991919;AVENIDA JOAO PAULO II 450, 450, CENTRO;-19.5877021;-46.946113;pendente_geracao
219991920;RUA ELOI TEIXEIRA 71, 71, SANTA LUZIA;-19.5965721;-46.9469822;pendente_geracao
219991938;RUA COROMANDEL 30, 30, JOAO RIBEIRO;-19.6005972;-46.9448097;pendente_geracao
219991945;RUA UBERABA 317, 317, CENTRO;-19.5926526;-46.9452289;pendente_geracao
219991947;RUA FUNCIONARIO JOAO ROSA 125, 125, CENTRO;-19.5938727;-46.9451674;pendente_geracao
219991950;RUA PERDIZES 48, 48, CENTRO;-19.5894704;-46.9437992;pendente_geracao
219991956;RUA CAPITAO JOSE PORFIRIO 612, 612, CENTRO;-19.587455;-46.9438894;pendente_geracao
219991958;AVENIDA VEREADOR JOAO SENA 764, 764, CENTRO;-19.5858027;-46.9438218;pendente_geracao
219992133;AVENIDA JOAQUIM BENEVIDES DE AVILA 25, 25, JOSE FERREIRA GUIMARAES;-19.6039669;-46.9212111;pendente_geracao
219992141;RUA GILDO DUTRA 335, 335, VEREDAS DA CIDADE;-19.6023264;-46.9174837;pendente_geracao
219992263;RUA JOSE JUSTINO CORNELIO 308, 308, ESTANCIA;-19.6100929;-46.9278231;pendente_geracao
219992280;RUA SANTO ANTONIO 800, 800, SANTO ANTONIO;-19.6036743;-46.9266122;pendente_geracao
219992299;RUA ANTONIO PEREIRA DOS SANTOS 18, 18, SANTO ANTONIO;-19.6054608;-46.9268051;pendente_geracao
219992322;RUA AURELIO CANDIDO DE OLIVEIRA 125, 125, ODILON JOSE CARNEIRO;-19.5958395;-46.9269002;pendente_geracao
219992334;AVENIDA CAPITAO BELARMINO DE PAULA MACHADO 341, 341, SANTO ANTONIO;-19.6008892;-46.9285712;pendente_geracao
219992380;AVENIDA DIVINO ALVES FERREIRA 380, 380, PADRE ALAOR;-19.6079681;-46.9288558;pendente_geracao
219992406;RUA JOAO DAVID 180, 180, SANTO ANTONIO;-19.5998489;-46.9227922;pendente_geracao
219992424;RUA SANTO ANTONIO 2540, 2540, ADHEMAR RODRIGUES VALLE;-19.6138218;-46.9237685;pendente_geracao
219992426;RUA CARLOS RALLO 145, 145, MANGUEIRA I;-19.6034512;-46.9238167;pendente_geracao
219992505;RUA SANTO ANTONIO 923, 923, ANDREA;-19.6051817;-46.9258676;pendente_geracao
219992526;RUA JOAO PEREIRA JUNIOR 35, 35, ANDREA;-19.6040252;-46.9250531;pendente_geracao
219992572;AVENIDA JOAO MOREIRA SALLES 210, 210, LEDA BARCELOS;-19.607541;-46.931615;pendente_geracao
219992609;AVENIDA JOAO MOREIRA SALLES 120, 120, LEDA BARCELOS;-19.6057711;-46.9315748;pendente_geracao
219992656;RUA CONEGO CASSIANO 969, 969, CENTRO;-19.5954459;-46.931604;pendente_geracao
219992663;PRACA DOUTOR ALONSO DE AVILA 91, 91, DOUTOR PEDRO PEZZUTI;-19.596693;-46.9307134;pendente_geracao
219992706;RUA DOUTOR EDMAR CUNHA 725, 725, LEDA BARCELOS;-19.6077173;-46.9328658;pendente_geracao
219992780;RUA GIL RODRIGUES 160, 160, SAO VICENTE;-19.6021973;-46.9337816;pendente_geracao
219992792;RUA CONEGO CASSIANO 685, 685, CENTRO;-19.5935903;-46.9336406;pendente_geracao
219992811;AVENIDA PREFEITO ARACELY DE PAULA 2795, 2795, SANTA TEREZINHA;-19.6020366;-46.9361245;pendente_geracao
219992836;RUA DOUTOR FRANKLIN DE CASTRO 528, 528, CENTRO;-19.5933041;-46.9350574;pendente_geracao
219992837;RUA DOUTOR EDMAR CUNHA 407, 407, SANTA TEREZINHA;-19.6068849;-46.934686;pendente_geracao
219992917;RUA JOHNNY NOLLI 15, 15, SAGRADA FAMILIA;-19.601137;-46.9357896;pendente_geracao
219992942;RUA PEDRO DIAS DE CARVALHO 195, 195, SANTA TEREZINHA;-19.6036943;-46.9365352;pendente_geracao
