cod_id,poste_numero,na_fila_de_links
221621657,85,SIM
220780151,91,SIM
222494546,108,SIM
219991919,102,SIM
220780147,113,SIM
219991918,123,SIM
219298174,134,SIM
224318063,148,SIM
219991835,152,SIM
219298056,163,SIM
224318116,176,SIM
223976796,188,SIM
220780047,209,SIM
223390223,230,SIM
222494450,255,SIM
221621584,282,SIM
219298062,320,SIM
219991803,350,SIM
1496652680,383,SIM
1496656391,403,SIM
223976795,423,SIM
224318114,463,SIM
223976797,504,SIM
219991810,568,SIM
219298050,615,SIM
219991805,433,SIM
1496654046,441,SIM
223976811,406,SIM
224318144,317,SIM
219991811,344,SIM
224318143,386,SIM
223976812,312,SIM
219298078,301,SIM
220780117,286,SIM
223390182,270,SIM
224318050,258,SIM
223390180,235,SIM
224318049,217,SIM
224318064,195,SIM
350236561,198,SIM
222494539,139,SIM
220780150,179,SIM
223390213,158,SIM
224318020,147,SIM
222494509,260,SIM
219991193,275,SIM
223978969,299,SIM
221705467,321,SIM
219298172,336,SIM
223976793,272,SIM
220855417,376,SIM
220780156,394,SIM
224318026,414,SIM
223390222,474,SIM
223390221,495,SIM
221621636,518,SIM
220855416,315,SIM
222496788,352,SIM
219991188,405,SIM
223978968,452,SIM
221705466,507,SIM
222496784,574,SIM
223456738,646,SIM
220855413,586,SIM
219386127,605,SIM
223456739,395,SIM
223456740,396,SIM
222494515,471,SIM
219991946,635,SIM
220780176,575,SIM
219298205,681,SIM
224318105,566,SIM
221621705,612,SIM
220780177,656,SIM
219298207,712,SIM
224318106,779,SIM
223977052,830,SIM
219991970,873,SIM
219991784,742,SIM
223390434,741,SIM
223390435,758,SIM
224318373,818,SIM
220853308,891,SIM
223390444,788,SIM
224318029,726,SIM
223976715,674,SIM
222494528,621,SIM
219298158,559,SIM
221621640,512,SIM
223976714,468,SIM
219991928,538,SIM
223390365,723,SIM
223976916,813,SIM
224318262,894,SIM
220780281,987,SIM
223390367,1068,SIM
223976918,1148,SIM
219991716,1215,SIM
219298244,1308,SIM
219991665,1369,SIM
220780282,1190,SIM
221621789,954,SIM
220780258,935,SIM
223976917,1364,SIM
221621785,1287,SIM
223976915,1304,SIM
222494639,1322,SIM
221621786,1315,SIM
612500464,1249,SIM
223976914,1165,SIM
222494638,1094,SIM
224318276,1391,SIM
220780285,1116,SIM
223390366,1191,SIM
223751195,1070,SIM
