linha_planilha;link_usado_por_mim;cod_id_usado;endereco;link_original_da_base_cod_id;precisa_confirmar;motivo
11;https://www.google.com/maps/@-19.6166173,-46.9281964,3a,90y,2.47h,108.51t/data=!3m7!1e1!3m5!1sQMb-ziRnr_kTTEOhqcsIJg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-18.511729990719303%26panoid%3DQMb-ziRnr_kTTEOhqcsIJg%26yaw%3D2.474093937690727!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;223326594;RUA VEREADOR JOSE ROSINHA 255, 255, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6165749715,-46.9281672635;;
12;https://www.google.com/maps/@-19.6165096,-46.9297385,3a,75y,31.13h,116.67t/data=!3m7!1e1!3m5!1snpp1orsM9cR7Q3_TfGgyog!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-26.67439506331621%26panoid%3Dnpp1orsM9cR7Q3_TfGgyog%26yaw%3D31.126043826460588!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;221094176;RUA VEREADOR JOSE ROSINHA 90, 90, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6164842029,-46.9298915687;SIM;confirmar - distancia (16.3m, 111 graus) e rumo (16.9m, 57 graus) nao concordam com confianca
13;https://www.google.com/maps/@-19.6164913,-46.9300328,3a,46.9y,302.11h,107.67t/data=!3m7!1e1!3m5!1sv54Ms2r9PyYml7LYs8ikWw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-17.671738154835523%26panoid%3Dv54Ms2r9PyYml7LYs8ikWw%26yaw%3D302.1087699191428!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;224219887;RUA VEREADOR JOSE ROSINHA 65, 65, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6164621245,-46.9302725854;;cod_id escolhido pelo rumo, nao pela distancia (mais proximo a 14.8m tinha 145 graus de diferenca de rumo)
14;https://www.google.com/maps/@-19.6164688,-46.9305092,3a,75y,53.58h,99.78t/data=!3m7!1e1!3m5!1sCqpZS_j5fxOe7tBuIW9LqA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-9.784076327697008%26panoid%3DCqpZS_j5fxOe7tBuIW9LqA%26yaw%3D53.57910542721829!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;223116798;RUA VEREADOR JOSE ROSINHA 30, 30, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6164405291,-46.9305964852;SIM;confirmar - distancia (9.7m, 125 graus) e rumo (24.8m, 35 graus) nao concordam com confianca
15;https://www.google.com/maps/@-19.6164578,-46.9307171,3a,35.9y,297.2h,109.26t/data=!3m7!1e1!3m5!1s7mY0x0S-9RGuKc5-P4-Mfg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-19.26185029474803%26panoid%3D7mY0x0S-9RGuKc5-P4-Mfg%26yaw%3D297.20285448897886!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;223255451;RUA VEREADOR JOSE ROSINHA 25, 25, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6163730979,-46.9309865302;;cod_id escolhido pelo rumo, nao pela distancia (mais proximo a 12.8m tinha 144 graus de diferenca de rumo)
16;https://www.google.com/maps/@-19.6163693,-46.9310568,3a,43y,124.24h,106.18t/data=!3m7!1e1!3m5!1sRaWGosqtJGn9XE0x5EyzXQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-16.1832992421201%26panoid%3DRaWGosqtJGn9XE0x5EyzXQ%26yaw%3D124.23714448618105!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;223255451;RUA VEREADOR JOSE ROSINHA 25, 25, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6163730979,-46.9309865302;;
17;https://www.google.com/maps/@-19.6168599,-46.9281882,3a,90y,242.89h,106.33t/data=!3m7!1e1!3m5!1sCEVkBfJPgNQpZcVJvzxoqQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-16.327554750569817%26panoid%3DCEVkBfJPgNQpZcVJvzxoqQ%26yaw%3D242.88545168477225!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;223116795;RUA VEREADOR JOSE ROSINHA 240, 240, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6168369251,-46.9281703851;SIM;confirmar - distancia (3.2m, 153 graus) e rumo (87.2m, 51 graus) nao concordam com confianca
18;https://www.google.com/maps/@-19.6171679,-46.9282077,3a,61.5y,233.82h,125.14t/data=!3m7!1e1!3m5!1snXIuk0AHrj2i41bmlfVk4g!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-35.14448430046883%26panoid%3DnXIuk0AHrj2i41bmlfVk4g%26yaw%3D233.82494970398218!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;219090086;RUA EDSON APARECIDO DE SOUZA 235, 235, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6172341862,-46.9281846528;SIM;confirmar - poste mais proximo (7.8m) tem 72 graus de diferenca de rumo, mas esta perto o suficiente pra ser so ruido de GPS
19;https://www.google.com/maps/@-19.6173037,-46.9271401,3a,75y,223.71h,112.18t/data=!3m7!1e1!3m5!1slI1H4XzYEv2jNC3gLc6BOg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-22.180304850440564%26panoid%3DlI1H4XzYEv2jNC3gLc6BOg%26yaw%3D223.71225048456!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;221891614;RUA PEDRO RUFINO BORGES 85, 85, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.617251321,-46.9274317539;SIM;2 postes proximos no mesmo endereco - confirmar se e este ou o 2650511978 (usado pelo link 20)
20;https://www.google.com/maps/@-19.6172251,-46.9271696,3a,75y,211.63h,106.88t/data=!3m7!1e1!3m5!1sNnMdVGh-ABBIX-DRkahzcQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-16.883573508001305%26panoid%3DNnMdVGh-ABBIX-DRkahzcQ%26yaw%3D211.62766584741289!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;2650511978;RUA PEDRO RUFINO BORGES 85, 85, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6172627406,-46.927203103;;
21;https://www.google.com/maps/@-19.6169551,-46.9271479,3a,75y,208.57h,109.34t/data=!3m7!1e1!3m5!1sb6rGHCI_J07Ty5-NeAE8IA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-19.335859986990812%26panoid%3Db6rGHCI_J07Ty5-NeAE8IA%26yaw%3D208.56570176964152!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;2650511985;RUA MARIA DE LOURDES DE JESUS 80, 80, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.617019134,-46.9271811155;;
22;https://www.google.com/maps/@-19.616862,-46.9271407,3a,48.9y,348.55h,103.15t/data=!3m7!1e1!3m5!1suxj7KABO8SFD-aPOJNf-YA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-13.146114894359187%26panoid%3Duxj7KABO8SFD-aPOJNf-YA%26yaw%3D348.5485432190213!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;223326570;RUA MARIA DE LOURDES DE JESUS 80, 80, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6167482438,-46.9271683586;;
23;https://www.google.com/maps/@-19.6168349,-46.9267525,3a,75y,318.68h,100.01t/data=!3m7!1e1!3m5!1s_qYZ59N7CmibdaLiM-vOdw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-10.00771868178586%26panoid%3D_qYZ59N7CmibdaLiM-vOdw%26yaw%3D318.6774133931755!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;221889355;RUA MARIA DE LOURDES DE JESUS 105, 105, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6167700236,-46.9268254831;;
24;https://www.google.com/maps/@-19.6168501,-46.9264632,3a,90y,359.15h,109.51t/data=!3m7!1e1!3m5!1sjN75oI15nVUC6SU5wOE19w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-19.51393587423064%26panoid%3DjN75oI15nVUC6SU5wOE19w%26yaw%3D359.15178274749564!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;220081181;RUA MARIA DE LOURDES DE JESUS 125, 125, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6167919041,-46.9264634403;;
25;https://www.google.com/maps/@-19.6168722,-46.9260811,3a,48.9y,312.91h,103.22t/data=!3m7!1e1!3m5!1ssWuEEgfpzVJKMSPtdFpfgw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-13.22273605913368%26panoid%3DsWuEEgfpzVJKMSPtdFpfgw%26yaw%3D312.9144147531405!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;224219885;RUA MARIA DE LOURDES DE JESUS 155, 155, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6168137792,-46.9261110293;;
26;https://www.google.com/maps/@-19.6168919,-46.9256911,3a,48.9y,301.89h,96.08t/data=!3m7!1e1!3m5!1sSoCtxGaHmW0TZuuneGT1AA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-6.07851454619221%26panoid%3DSoCtxGaHmW0TZuuneGT1AA%26yaw%3D301.8878631713855!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;223116784;RUA MARIA DE LOURDES DE JESUS 185, 185, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6168356534,-46.925758522;;
27;https://www.google.com/maps/@-19.6168429,-46.9253604,3a,63.6y,234.79h,121.34t/data=!3m7!1e1!3m5!1sPNKjr2ISXU8FlszdcLi5UQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-31.344976949010373%26panoid%3DPNKjr2ISXU8FlszdcLi5UQ%26yaw%3D234.7880492030996!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;224219884;RUA MARIA DE LOURDES DE JESUS 215, 215, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6168484985,-46.9253964739;;
28;https://www.google.com/maps/@-19.6165596,-46.9253394,3a,48.9y,205.37h,106.04t/data=!3m7!1e1!3m5!1svp5e-QOU7RwVuOWelpH-Hw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-16.041621851589866%26panoid%3Dvp5e-QOU7RwVuOWelpH-Hw%26yaw%3D205.365541541106!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;221094171;RUA ELIAS ABDANUR 15, 15, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6166318958,-46.9253843267;;
