cod_id;poste_numero;na_fila_de_links
221094176;524;SIM
221371071;550;SIM
221528455;276;SIM
221528456;665;SIM
221528457;105;SIM
221528458;580;SIM
221528459;365;SIM
221528460;234;SIM
221528461;261;SIM
221528492;189;SIM
221528607;110;SIM
221528611;171;SIM
221529250;197;SIM
221621550;1330;SIM
221621551;1286;SIM
221621552;1430;SIM
221621580;853;SIM
221621582;756;SIM
221621583;721;SIM
221621584;282;SIM
221621629;1613;SIM
221621630;824;SIM
221621631;46;SIM
221621636;518;SIM
221621640;512;SIM
221621644;1540;SIM
221621646;1455;SIM
221621649;1708;SIM
221621656;1129;SIM
221621657;85;SIM
221621660;1487;SIM
221621667;1944;SIM
221621671;1779;SIM
221621687;39;SIM
221621692;1418;SIM
221621693;1499;SIM
221621699;205;SIM
221621700;1235;SIM
221621701;1131;SIM
221621702;1843;SIM
221621705;612;SIM
221621708;1920;SIM
221621711;1138;SIM
221621712;1021;SIM
221621718;69;SIM
221621725;290;SIM
221621745;658;SIM
221621751;1646;SIM
221621752;1632;SIM
221621755;47;SIM
221621781;1101;SIM
221621785;1287;SIM
221621786;1315;SIM
221621789;954;SIM
221621797;837;SIM
221621817;1888;SIM
221621835;2136;SIM
221621839;1608;SIM
221621840;1674;SIM
221621841;1424;SIM
221621853;1345;SIM
221621855;1043;SIM
221621857;919;SIM
221621861;2033;SIM
221703618;754;SIM
221703714;888;SIM
221704100;289;SIM
221704202;229;SIM
221704410;250;SIM
221704431;748;SIM
221704432;771;SIM
221704434;630;SIM
221705428;373;SIM
221705429;638;SIM
221705430;774;SIM
221705431;689;SIM
221705432;883;SIM
221705434;491;SIM
221705466;507;SIM
221705467;321;SIM
221807156;193;SIM
221807160;11;SIM
221807227;1189;SIM
221807360;297;SIM
221807361;1054;SIM
221807362;796;SIM
221807364;623;SIM
221807369;5;SIM
221807372;41;SIM
221807373;124;SIM
221807374;84;SIM
221807689;616;SIM
221889355;271;SIM
221891614;224;SIM
221986467;118;SIM
221986468;384;SIM
221986469;175;SIM
221986470;331;SIM
221986471;273;SIM
221986472;429;SIM
221986474;594;SIM
221986475;313;SIM
221986476;324;SIM
221986637;82;SIM
222073141;220;SIM
222494412;964;SIM
222494415;737;SIM
222494429;702;SIM
222494450;255;SIM
222494479;1781;SIM
222494480;1493;SIM
222494493;1706;SIM
222494496;1234;SIM
222494504;1943;SIM
222494508;232;SIM
222494509;260;SIM
222494510;1183;SIM
222494512;1478;SIM
222494514;1293;SIM
222494515;471;SIM
222494528;621;SIM
222494530;1298;SIM
222494539;139;SIM
222494540;1469;SIM
222494541;1566;SIM
222494546;108;SIM
222494551;1476;SIM
222494561;1411;SIM
222494562;1302;SIM
222494575;190;SIM
222494579;42;SIM
222494594;1146;SIM
222494603;1510;SIM
222494604;1573;SIM
222494638;1094;SIM
222494639;1322;SIM
222494665;2108;SIM
222494666;2360;SIM
222494677;1945;SIM
222494695;1085;SIM
222494698;970;SIM
222494702;966;SIM
222494704;1112;SIM
222494705;1179;SIM
222494706;1212;SIM
222494710;1731;SIM
222494718;1670;SIM
222494719;2434;SIM
222494762;528;SIM
222494763;648;SIM
222494765;593;SIM
222494766;548;SIM
222495068;1097;SIM
222495069;1158;SIM
222495106;927;SIM
222495113;733;SIM
222495163;309;SIM
222495168;375;SIM
222495500;619;SIM
222495517;233;SIM
222495521;236;SIM
222495590;734;SIM
222496661;505;SIM
222496662;642;SIM
222496663;705;SIM
222496664;652;SIM
222496676;569;SIM
222496677;651;SIM
222496679;911;SIM
222496784;574;SIM
222496788;352;SIM
222571817;206;SIM
222571819;427;SIM
222571820;214;SIM
222571821;603;SIM
222571822;78;SIM
222571823;263;SIM
222571824;109;SIM
222571825;135;SIM
222571929;142;SIM
222571930;106;SIM
222573859;1440;SIM
222733198;502;SIM
222733199;264;SIM
222733200;717;SIM
222733201;898;SIM
222733202;421;SIM
222733203;914;SIM
222733204;910;SIM
222733205;956;SIM
222733210;3;SIM
222733211;9;SIM
222733213;141;SIM
222733215;24;SIM
222733216;32;SIM
222733217;122;SIM
222733218;89;SIM
222733357;15;SIM
222733358;20;SIM
222733407;811;SIM
222733421;1660;SIM
222886700;397;NAO
223044168;1676;SIM
223116784;173;SIM
223116795;353;SIM
223116798;573;SIM
223255148;6;SIM
223255150;166;SIM
223255153;28;SIM
223255159;469;SIM
223255160;228;SIM
223255161;419;SIM
223255163;975;SIM
223255164;199;SIM
223255165;227;SIM
223255166;143;SIM
223255167;556;SIM
223255168;329;SIM
223255299;266;SIM
223255310;22;SIM
223255396;37;SIM
223255413;1362;SIM
223255425;1123;SIM
223255441;834;SIM
223255444;1769;SIM
223255451;617;SIM
223326570;305;SIM
223326594;398;SIM
223390160;1948;SIM
223390161;1851;SIM
223390162;1570;SIM
223390170;958;SIM
223390175;1300;SIM
223390180;235;SIM
223390182;270;SIM
223390187;1634;SIM
223390188;1310;SIM
223390192;727;SIM
223390200;1375;SIM
223390208;1727;SIM
223390212;72;SIM
223390213;158;SIM
223390215;1297;SIM
223390219;669;SIM
223390221;495;SIM
223390222;474;SIM
223390223;230;SIM
223390309;1663;SIM
223390343;1052;SIM
223390359;343;SIM
223390365;723;SIM
223390366;1191;SIM
223390367;1068;SIM
223390375;1072;SIM
223390377;915;SIM
223390383;1178;SIM
223390384;1110;SIM
223390385;446;SIM
223390393;2009;SIM
223390400;2417;SIM
223390401;1498;SIM
223390403;2200;SIM
223390407;1495;SIM
223390420;949;SIM
223390423;1348;SIM
223390424;1474;SIM
223390425;1797;SIM
223390429;1805;SIM
223390434;741;SIM
223390435;758;SIM
223390438;1626;SIM
223390439;1927;SIM
223390442;186;SIM
223390443;1347;SIM
223390444;788;SIM
223390447;843;SIM
223390457;963;SIM
223390788;2563;NAO
223390936;477;SIM
223390937;462;SIM
223390939;201;SIM
223390944;349;SIM
223390964;631;SIM
223391030;539;SIM
223455479;839;SIM
223455588;269;SIM
223455601;65;SIM
223455759;1122;SIM
223455761;1118;SIM
223455766;1047;SIM
223455872;355;SIM
223455886;622;SIM
223455891;687;SIM
223456738;646;SIM
223456739;395;SIM
223456740;396;SIM
223456897;342;SIM
223456898;449;SIM
223456899;743;SIM
223456903;769;SIM
223456904;684;SIM
223456906;525;SIM
223520254;1196;SIM
223636423;1296;SIM
223637324;624;SIM
223694251;267;SIM
223694252;120;SIM
223694253;128;SIM
223694254;149;SIM
223694255;451;SIM
223694256;180;SIM
223694258;362;SIM
223694259;636;SIM
223694384;140;SIM
223694389;240;SIM
223751195;1070;SIM
223976714;468;SIM
223976715;674;SIM
223976724;30;SIM
223976725;31;SIM
223976739;1946;SIM
223976740;1822;SIM
223976748;1323;SIM
223976760;827;SIM
